pulocationid,diff_lm,diff_rf,total_trips,average_diff_lm,average_diff_rf
109,-93.66356911081691,3.394922497933953,12,-7.805297425901409,0.28291020816116275
111,1.0333951389108127,0.5210541706295762,2,0.5166975694554063,0.2605270853147881
112,-168.39756612036282,-242.43946430376545,1130,-0.14902439479678126,-0.21454819849890747
113,6723.298270091185,7715.063409874401,125579,0.05353839630902607,0.06143593602333512
114,-990.4585419769313,-462.13614896103263,117602,-0.008422123280020163,-0.0039296623268399574
115,-39.55817936547944,-30.829746148466157,4,-9.88954484136986,-7.707436537116539
116,-2558.1448347859077,-2822.0557487419214,5674,-0.45085386584171794,-0.4973661876527884
117,-1114.203230137414,-55.08304822074619,301,-3.7016718609216412,-0.1830001602018146
118,-107.82132571557698,-9.055001209228728,35,-3.0806093061593423,-0.2587143202636779
119,58.056692838348596,-115.42449985251096,341,0.17025423119750321,-0.3384882693622022
120,-90.08867223610982,-57.42939503206749,38,-2.370754532529206,-1.511299869264934
121,149.01758800468642,-121.13209804510244,218,0.6835669174526899,-0.5556518258949653
122,-20.36374062553534,-16.8914174236487,98,-0.2077932716891361,-0.1723614022821296
123,76.25506151186414,-15.916952120316987,130,0.5865773962451087,-0.12243809323320759
124,-66.96987442041517,96.88286500960827,143,-0.4683208001427634,0.6775025525147431
125,427.56273642978044,154.4478114522458,49330,0.008667397859918517,0.0031309104287907115
126,40.579643414459156,-33.525436560913576,95,0.4271541412048332,-0.3528993322201429
127,-197.5935672172604,-70.88235826569412,309,-0.6394613825801307,-0.2293927451964211
128,2.789732379783758,1.294786640409761,23,0.12129271216451122,0.05629507132216352
129,423.15844338939684,-331.63534374773917,1195,0.35410748400786346,-0.2775191161068947
130,393.1364035233146,-108.41161779901077,970,0.4052952613642418,-0.11176455443196986
131,26.802526225105684,-90.84846917420727,199,0.13468606143269188,-0.45652497072465964
132,-65560.41070912287,-50286.523567478005,415992,-0.15760017190023573,-0.12088339094857115
133,-128.9525170413709,-158.22441312515883,173,-0.7453902719154387,-0.914591983382421
134,489.723317585876,-164.1781142897245,713,0.6868489727712146,-0.2302638349084495
135,237.06321159937445,-40.053096626212835,221,1.0726842153817848,-0.18123573134032958
136,-95.95921797908493,-83.09674951332626,181,-0.5301614252988117,-0.45909806360953737
137,-17078.408723433808,-14388.711333718567,116425,-0.14669021879694058,-0.1235878147624528
138,35203.203276948145,13667.080893174234,260996,0.13488024060502132,0.05236509714008734
139,-235.54290792056477,-39.052677721718396,210,-1.1216328948598322,-0.18596513200818285
140,-13109.097136916624,-9133.867367005729,189962,-0.06900904989901467,-0.04808260266266795
141,-22096.23697099982,-15343.807032338946,250840,-0.08808896894833289,-0.06116969794426306
142,4657.887196557125,10556.102608304052,310865,0.014983633398925982,0.033957192377089905
143,-10865.379098602845,-7821.120156091786,111811,-0.09717629838390539,-0.06994946969521591
144,-910.4618791475856,-1821.2463323513323,76892,-0.011840788107313968,-0.02368577137220169
145,1339.4037471642062,-726.1896872162954,3226,0.41519025020589156,-0.22510529671924842
146,-897.8676532652327,-1443.1362541031376,3699,-0.24273253670322592,-0.39014226928984524
147,44.20001404653221,-37.09021352058851,84,0.5261906434110978,-0.44155016095938704
148,-5568.845527742982,-6976.682046335386,95556,-0.05827834492593853,-0.07301144926886209
149,-117.55419338167688,-46.57334080935161,97,-1.2118989008420298,-0.4801375341170269
150,10.87056159841131,7.065762541080758,69,0.15754437099146826,0.10240235566783708
151,-10011.629682813631,-9112.1349514066,82080,-0.12197404584324599,-0.1110152893689888
152,-2932.8829141846013,-3088.4270307966303,5721,-0.5126521437134419,-0.5398404178983797
153,27.946611120779618,-10.403144696010651,52,0.5374348292457619,-0.20006047492328174
154,-63.29928647305668,-36.06002016047675,20,-3.164964323652834,-1.8030010080238377
155,-112.17066889957363,-78.36234251982347,213,-0.5266228586834443,-0.3678983216893121
156,-123.6991700959108,-29.931751463594477,20,-6.18495850479554,-1.4965875731797238
157,249.55331116898466,-163.01027119192398,540,0.46213576142404567,-0.301870872577637
158,1489.2605592632426,1119.7056662990462,74026,0.020118074180196722,0.015125843167252672
159,84.40386737379158,-111.28340226278947,238,0.35463809820920833,-0.4675773204318885
160,84.9700325490357,33.63311120885125,133,0.6388724251807195,0.2528805354048966
161,21842.520652431613,22478.59969112225,369077,0.059181473384772317,0.060904905185428106
162,8507.848999239346,11402.66605869978,307802,0.027640655353894213,0.03704545798500263
163,14060.53113912142,14675.457237597218,260718,0.053930036050911026,0.05628862310081091
164,-6048.720990432342,-4972.589721117915,204564,-0.029568843933597024,-0.024308234689964583
165,301.6002783090688,-94.35126327035306,322,0.9366468270467976,-0.29301634556010264
166,-3960.5683001037924,-4685.159716886299,47194,-0.08392101326659729,-0.09927447804564773
167,57.045629522180924,-65.31769689883276,165,0.3457310880132177,-0.39586482968989556
168,-152.58706284395,-269.9514426367006,446,-0.3421234592913677,-0.6052722929074005
169,34.64462120999157,-67.97176805646274,171,0.2026001240350384,-0.39749571962843705
170,-7995.925338370993,-5097.576375785146,291613,-0.02741964637506213,-0.017480621151269478
171,-4.213655167066505,-35.3198670638216,91,-0.046303902934796755,-0.38813040729474285
172,2.4139631745906915,-0.21675364488984972,1,2.4139631745906915,-0.21675364488984972
173,26.24914103603394,-23.60582175082267,78,0.33652744917992233,-0.3026387403951624
174,-85.89157050209519,-86.07965954028722,199,-0.4316159321713326,-0.4325611032175237
175,7.2044704064374665,-9.460715023699095,37,0.1947154163902018,-0.2556950006405161
176,-5.626186412469538,0.0,1,-5.626186412469538,0.0
177,246.64937492274962,-84.7676575196026,366,0.6739053959637967,-0.23160562163825846
178,-17.217716818914425,-17.610165764727203,36,-0.47826991163651184,-0.4891712712424223
179,243.5583867605022,-362.5293257618391,997,0.24429126054212857,-0.3636201863208015
180,24.145016145441314,2.6439865383335612,77,0.3135716382524846,0.03433748751082547
181,47.92532349302809,-286.8132935851434,2181,0.02197401352270889,-0.1315054074209736
182,138.50850944455894,-56.88916916109647,223,0.621114392128067,-0.25510838188832496
183,22.872869518865222,-4.623334632950666,59,0.3876757545570377,-0.07836160394831637
184,-37.69362939372272,-19.47061371825007,17,-2.217272317277807,-1.1453302187205925
185,197.7348131433046,-47.224989013876694,154,1.2839922931383414,-0.30665577281738116
186,15975.62589976395,17253.73026454929,302161,0.05287123718734036,0.057101115844034434
187,-13.920042564058594,-1.293366757000903,2,-6.960021282029297,-0.6466833785004515
188,408.48023238555345,-134.00082854439898,619,0.6599034448878085,-0.2164795291508869
189,142.61188139031222,15.310549760229327,610,0.23378996949231512,0.02509926190201529
190,-0.5372248573811373,-38.15273131286484,150,-0.003581499049207582,-0.2543515420857656
191,-316.27625113796404,-84.56180465857891,341,-0.9274963376479883,-0.2479818318433399
192,123.24336230923194,125.42677628623338,73,1.6882652371127662,1.7181750176196353
193,-378.389850996282,-595.2128176737591,847,-0.44674126445842033,-0.7027305993787002
194,219.118946128943,156.33963663775174,341,0.6425775546303314,0.45847400773534236
195,-91.60129571353875,-158.5636201787838,313,-0.2926558968483666,-0.5065930357149642
196,359.3306609251494,70.18304470667957,371,0.9685462558629364,0.1891726272417239
197,192.00523880418393,84.10183956885678,778,0.24679336607221586,0.10810005085971308
198,15.578795165273643,-79.763992829745,143,0.10894262353338212,-0.5577901596485665
199,-10.432357086565476,-12.005186514695524,5,-2.086471417313095,-2.4010373029391046
200,-192.49223951392787,-39.34243512180487,143,-1.3460995770204747,-0.2751219239287054
201,-242.98294817872147,-5.124133051600625,83,-2.927505399743632,-0.06173654279036897
202,15.086982057543372,-31.061830304919315,208,0.07253356758434314,-0.1493357226198044
203,-280.5312834059019,33.575152099378734,250,-1.1221251336236076,0.13430060839751493
204,-2.014983965097164,-3.3530953265768346,2,-1.007491982548582,-1.6765476632884173
205,-137.71431305326675,-62.88432725401982,513,-0.2684489533202081,-0.12258153460822578
206,-39.32561392580226,-1.225609721139092,7,-5.61794484654318,-0.17508710301987027
207,167.3113896120594,-24.487618450417866,186,0.8995236000648354,-0.13165386263665518
208,66.16569833700295,-24.807319348693124,109,0.6070247553853482,-0.22759008576782683
209,639.0514847819175,-162.59430795891092,15912,0.04016160663536435,-0.010218345145733467
210,-606.9967999917953,-81.14088074894397,342,-1.7748444444204543,-0.23725403727761396
211,-1818.0355619808456,-2568.092634932252,67693,-0.02685706885469466,-0.03793734411138895
212,100.03499454782636,-25.706836556719132,136,0.7355514304987232,-0.1890208570346995
213,-183.19990309989424,-164.83501495714412,466,-0.3931328392701593,-0.35372320806254104
214,-38.22900671951414,10.586179681077713,15,-2.548600447967609,0.7057453120718475
215,-77.72255070272581,-36.22870971306323,1029,-0.0755321192446315,-0.03520768679597982
216,1055.9860897630701,361.69450616110464,1536,0.6874909438561655,0.2354781941153025
217,-24.72598478308664,-29.727588217148433,160,-0.15453740489429152,-0.18579742635717772
218,-77.7552592034264,-115.46462830635633,416,-0.1869116807774673,-0.2775592026595104
219,-677.6010378140143,-118.26756127983052,760,-0.8915803129131766,-0.1556152122103033
220,130.89261092708773,-68.644640838639,228,0.5740903988030164,-0.3010729861343816
221,-41.08920934091488,-31.878374894298926,3,-13.696403113638292,-10.626124964766309
222,-293.7856540283163,-36.03318056118895,285,-1.0308268562397063,-0.12643221249539982
223,-171.68848226657337,-460.46130028739435,1581,-0.10859486544375292,-0.29124686925198884
224,-713.9051539492931,-611.5557083753976,12618,-0.056578313040837935,-0.0484669288615785
225,677.6346885175906,-119.23241152027019,534,1.2689788174486716,-0.22328166951361458
226,794.5028814360971,-675.7825027945255,5037,0.15773334950091267,-0.134163689258393
227,-26.22238048804013,-58.86426234009594,97,-0.2703338194643312,-0.6068480653618138
228,51.12354469698527,-77.47114621704775,270,0.18934646184068618,-0.2869301711742509
229,-11136.279639393088,-6877.013774527501,200005,-0.055680006196810516,-0.03438420926740582
230,25118.821002345056,19951.540617766248,268042,0.09371225778924593,0.07443438199150226
231,-343.1760407680394,-2110.830404084337,131259,-0.0026144953166490634,-0.016081414638876853
232,-249.49103293261828,-825.4811731263644,9960,-0.025049300495242798,-0.08287963585606069
233,-8387.540771792024,-8055.350868051074,122420,-0.06851446472628675,-0.06580093831115075
234,-5209.542575506587,-1733.8298884020373,256673,-0.020296418304638925,-0.006755014701203622
235,-948.9389921359025,-121.32515510167565,449,-2.1134498711267318,-0.2702119267297899
236,-15802.583045767571,-3403.259238945786,401399,-0.03936876535758079,-0.008478494562631661
237,-12047.81856353429,3744.8409563779346,440845,-0.02732892187397904,0.008494688510424151
238,-12228.371868251312,-8369.71393239496,196094,-0.062359745164315646,-0.04268215209233816
239,6925.836307320598,12312.902719856933,272361,0.025428884118212952,0.04520802434951015
